Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,7105.254883,7167.300293,7056.333008,7156.055176,7156.055176,18795688760
2019-11-02,7155.034180,7245.777344,7146.953125,7205.004395,7205.004395,16413748704
2019-11-03,7205.057617,7250.665527,7066.260742,7139.003418,7139.003418,16335375773
2019-11-04,7139.198242,7373.914551,7130.653320,7302.200684,7302.200684,20302596448
2019-11-05,7302.505859,7342.720703,7187.063477,7253.519531,7253.519531,20340547668
2019-11-06,7252.228516,7328.932129,7237.680176,7280.433594,7280.433594,17992410565
2019-11-07,7273.833496,7307.626953,7178.046875,7228.910645,7228.910645,17706821503
2019-11-08,7227.200195,7258.521484,6869.303711,6892.275879,6892.275879,19047391024
2019-11-09,6895.867676,6960.328613,6883.103516,6899.087402,6899.087402,13760182887
2019-11-10,6898.231934,7115.413574,6882.764160,7077.663574,7077.663574,16091209360
2019-11-11,7078.750977,7065.734863,6769.552246,6814.041016,6814.041016,15767681979
2019-11-12,6815.568848,6889.019531,6758.036133,6859.370117,6859.370117,15802807935
2019-11-13,6856.546387,6875.230957,6816.730957,6852.995605,6852.995605,13650931074
2019-11-14,6855.854004,6852.683105,6748.349609,6760.416504,6760.416504,14816189778
2019-11-15,6758.563477,6766.287109,6575.618652,6581.157715,6581.157715,16892215015
2019-11-16,6580.518066,6658.660156,6567.194336,6626.702637,6626.702637,12783663175
2019-11-17,6625.703125,6755.073242,6579.519531,6639.121582,6639.121582,14449022453
2019-11-18,6636.029297,6682.582031,6389.349609,6416.929199,6416.929199,16664962022
2019-11-19,6413.723145,6504.113281,6265.443359,6347.577148,6347.577148,16308491541
2019-11-20,6345.617676,6372.592285,6197.188477,6210.151367,6210.151367,16063927276
2019-11-21,6207.348145,6277.678223,5880.806641,5915.924316,5915.924316,17427307681
2019-11-22,5916.558594,5997.185059,5404.526855,5684.909668,5684.909668,26678873074
2019-11-23,5684.587402,5798.412598,5571.812500,5763.771484,5763.771484,16368473192
2019-11-24,5764.423828,5765.429199,5470.263184,5484.759277,5484.759277,23683667490
2019-11-25,5478.580566,5675.429199,5130.600586,5540.733398,5540.733398,33095866003
2019-11-26,5539.977539,5691.442383,5519.104492,5612.247559,5612.247559,16428084912
2019-11-27,5614.198730,5893.070801,5393.826660,5824.988770,5824.988770,18554958632
2019-11-28,5828.976563,5986.732422,5773.016113,5779.974121,5779.974121,14753801071
2019-11-29,5782.778809,6019.092773,5771.230469,6003.671387,6003.671387,15246336371
2019-11-30,6005.847656,6061.577148,5813.847656,5855.449707,5855.449707,13272635786
2019-12-01,5856.985840,5863.921387,5646.859863,5749.824707,5749.824707,14498458610
2019-12-02,5749.626465,5777.018555,5590.434082,5658.900879,5658.900879,13202094308
2019-12-03,5660.437012,5707.691895,5561.898438,5631.746582,5631.746582,11384430879
2019-12-04,5631.730957,5751.347656,5469.979980,5531.852051,5531.852051,16525482973
2019-12-05,5532.772949,5884.512695,5496.371582,5660.236816,5660.236816,14299020546
2019-12-06,5661.950195,5745.279297,5627.418945,5745.279297,5745.279297,13782332752
2019-12-07,5745.483887,5777.979980,5729.075684,5752.314453,5752.314453,11764255239
2019-12-08,5748.584961,5810.340332,5689.701660,5756.867676,5756.867676,11727756779
2019-12-09,5754.926758,5795.341309,5603.555176,5630.115723,5630.115723,13595854231
2019-12-10,5627.251465,5654.841309,5519.275391,5543.707520,5543.707520,13900195816
2019-12-11,5543.004883,5548.897949,5451.446777,5468.038086,5468.038086,12387393354
2019-12-12,5467.516602,5393.496094,5317.864258,5376.049805,5376.049805,14048189973
2019-12-13,5377.184082,5470.629883,5420.797363,5452.721191,5452.721191,12845381627
2019-12-14,5452.134766,5482.087891,5323.354004,5343.954102,5343.954102,12853851930
2019-12-15,5343.628418,5377.950684,5185.706543,5356.401855,5356.401855,12642379397
2019-12-16,5357.421387,5404.565430,5202.974121,5224.677734,5224.677734,15233768309
2019-12-17,5223.799805,5307.175293,5020.556641,5060.597168,5060.597168,17042985554
2019-12-18,5066.071289,5598.083008,4998.200195,5561.260254,5561.260254,24330903351
2019-12-19,5561.862305,5643.424805,5408.964355,5532.994629,5532.994629,19899088165
2019-12-20,5537.444336,5581.087891,5448.981445,5551.017090,5551.017090,17404611690
2019-12-21,5552.383789,5554.408203,5469.445313,5529.749023,5529.749023,14850676678
2019-12-22,5529.772461,5781.247070,5511.446289,5776.291992,5776.291992,17790089536
2019-12-23,5774.226074,5915.506348,5660.545898,5683.289551,5683.289551,21504091871
2019-12-24,5682.334961,5827.188965,5621.352051,5662.338379,5662.338379,17778869575
2019-12-25,5664.831055,5671.681152,5566.813477,5608.570313,5608.570313,16620675269
2019-12-26,5608.295410,5684.582031,5539.999023,5569.683105,5569.683105,17532393881
2019-12-27,5569.047363,5629.609375,5496.891602,5573.462402,5573.462402,17413884692
2019-12-28,5572.653809,5656.759277,5571.028320,5594.793457,5594.793457,16334612536
2019-12-29,5594.531738,5739.521973,5560.717773,5669.785645,5669.785645,17144787650
2019-12-30,5667.967773,5685.235352,5549.094727,5561.820313,5561.820313,17444384666
2019-12-31,5562.921387,5531.541992,5406.729492,5424.692871,5424.692871,15962748163
2020-01-01,5425.667969,5474.720215,5414.808594,5433.849121,5433.849121,14011191757
2020-01-02,5435.643066,5485.781738,5275.174316,5313.357910,5313.357910,15822688746
2020-01-03,5312.565918,5667.763184,5286.493652,5615.142090,5615.142090,21491142914
2020-01-04,5615.517578,5678.214355,5588.101563,5665.424805,5665.424805,14100590057
2020-01-05,5665.268066,5768.627930,5658.553223,5666.796875,5666.796875,15082067804
2020-01-06,5666.135254,5908.118164,5625.253906,5898.515625,5898.515625,17671710226
2020-01-07,5898.107422,6236.903809,5924.236816,6225.827637,6225.827637,21938626781
2020-01-08,6224.487793,6407.449707,6071.718750,6165.646484,6165.646484,24168949904
2020-01-09,6167.502930,6183.764648,6000.223145,6028.277832,6028.277832,18397587305
2020-01-10,6027.692871,6250.713379,5914.104492,6250.713379,6250.713379,21978257332
2020-01-11,6247.373535,6290.603027,6146.152832,6152.196289,6152.196289,19534741955
2020-01-12,6148.923828,6286.431152,6140.000977,6280.627930,6280.627930,17558508773
2020-01-13,6278.541504,6312.026367,6221.103027,6270.761230,6270.761230,17311099294
2020-01-14,6268.250000,6818.852051,6251.674805,6779.113770,6779.113770,34435396111
2020-01-15,6777.254883,6817.537598,6638.911133,6753.805664,6753.805664,30753540500
2020-01-16,6758.001465,6764.649902,6585.437012,6670.843262,6670.843262,23944956505
2020-01-17,6671.932617,6882.659668,6666.912109,6860.313477,6860.313477,27945260222
2020-01-18,6858.911133,6924.207031,6782.171875,6870.894043,6870.894043,24845595776
2020-01-19,6869.846680,7045.506836,6627.065918,6693.309082,6693.309082,26306070674
2020-01-20,6692.068848,6725.254395,6582.901855,6657.623535,6657.623535,20318489828
2020-01-21,6658.660156,6711.774414,6549.887695,6704.252930,6704.252930,18472117135
2020-01-22,6702.962402,6690.175781,6571.295410,6604.870605,6604.870605,17195433052
2020-01-23,6604.699219,6621.757324,6351.856934,6407.404297,6407.404297,19642284036
2020-01-24,6406.681641,6512.596191,6323.041992,6459.642578,6459.642578,18661182940
2020-01-25,6455.577148,6469.600098,6345.512207,6400.298828,6400.298828,15027615187
2020-01-26,6397.669434,6586.187500,6374.184570,6581.921875,6581.921875,16979718795
2020-01-27,6582.288574,6875.269043,6583.939453,6823.264160,6823.264160,21938532804
2020-01-28,6825.335938,7185.750488,6840.119141,7185.750488,7185.750488,26412181522
2020-01-29,7184.890137,7223.471680,7118.293457,7154.509766,7154.509766,23562056888
2020-01-30,7154.039551,7300.651855,7054.399414,7266.925293,7266.925293,24744391557
2020-01-31,7266.405273,7210.902344,6990.577637,7081.268066,7081.268066,22289577654
2020-02-01,7078.108887,7148.512695,7053.027344,7113.337402,7113.337402,19631538836
2020-02-02,7111.023926,7183.569824,6993.166504,7089.167969,7089.167969,23393747684
2020-02-03,7089.409668,7341.010742,7116.528320,7151.066895,7151.066895,23802797372
2020-02-04,7150.544434,7161.037109,6993.390137,7045.691406,7045.691406,22940746620
2020-02-05,7047.573730,7465.412109,7051.717773,7397.789551,7397.789551,27104326839
2020-02-06,7401.172852,7598.714355,7378.438965,7525.379395,7525.379395,29103486899
2020-02-07,7522.440918,7631.504395,7547.145020,7601.417480,7601.417480,26788800747
2020-02-08,7599.187500,7664.120605,7510.601563,7655.095703,7655.095703,27292661830
2020-02-09,7654.145508,7857.453613,7640.998535,7847.554199,7847.554199,27776355173
2020-02-10,7846.690430,7870.294922,7575.169922,7630.949219,7630.949219,30492907973
2020-02-11,7630.392090,7880.649414,7509.606445,7879.247559,7879.247559,29058729935
2020-02-12,7874.733398,8022.267578,7874.671875,7970.124023,7970.124023,33532312134
2020-02-13,7968.507813,8015.812988,7754.078125,7829.362793,7829.362793,37831626132
2020-02-14,7827.194336,7911.334961,7760.755859,7903.762695,7903.762695,33216785920
2020-02-15,7905.096680,7926.326660,7568.294434,7579.789063,7579.789063,33620546735
2020-02-16,7579.601563,7703.190430,7449.137695,7611.604004,7611.604004,33233062674
2020-02-17,7613.233398,7616.144531,7308.083984,7450.430664,7450.430664,35366573706
2020-02-18,7451.267578,7818.044434,7410.635254,7801.872559,7801.872559,36363896971
2020-02-19,7803.258789,7887.409180,7438.683105,7451.858398,7451.858398,36350441887
2020-02-20,7448.716309,7459.172852,7382.884277,7458.550781,7458.550781,34873098483
2020-02-21,7461.117188,7497.261230,7443.290527,7473.535156,7473.535156,31579800211
2020-02-22,7474.511230,7482.631348,7407.403809,7455.589355,7455.589355,27650684956
2020-02-23,7455.694824,7672.421387,7451.430176,7661.954102,7661.954102,31795910667
